epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4797.73,0.69406,0.64941,1.17224,0.79615,0.73462,0.78309,0.66801,0.80675,1.11689,1.26545,0.0005941,0.0005941,0.0005941
43,4909.03,0.69329,0.64781,1.169,0.80757,0.76606,0.80384,0.69244,0.79237,0.96827,1.27648,0.0005842,0.0005842,0.0005842
44,5026.12,0.69381,0.64008,1.16945,0.79684,0.74165,0.77718,0.66594,0.83604,1.06632,1.31847,0.0005743,0.0005743,0.0005743
45,5140.32,0.70852,0.66508,1.1788,0.79668,0.72838,0.76879,0.66635,0.80241,1.14379,1.25823,0.0005644,0.0005644,0.0005644
46,5254.86,0.69996,0.64754,1.17871,0.80345,0.74962,0.8015,0.69403,0.81311,1.02019,1.30072,0.0005545,0.0005545,0.0005545
47,5372.74,0.6775,0.60864,1.15399,0.84496,0.74624,0.793,0.68028,0.79609,1.0746,1.26967,0.0005446,0.0005446,0.0005446
48,5485.93,0.6782,0.60589,1.16075,0.81987,0.76109,0.80213,0.69718,0.78916,1.03555,1.27005,0.0005347,0.0005347,0.0005347
49,5601.56,0.68369,0.61792,1.1644,0.86065,0.74362,0.81039,0.7115,0.77821,1.01361,1.24819,0.0005248,0.0005248,0.0005248
50,5718.4,0.65899,0.60375,1.14367,0.86688,0.7352,0.80802,0.7087,0.7405,1.00191,1.19435,0.0005149,0.0005149,0.0005149
51,5829.75,0.65673,0.58721,1.14713,0.86243,0.75115,0.81724,0.71061,0.77621,0.94324,1.24609,0.000505,0.000505,0.000505
52,5940.44,0.66328,0.59981,1.14751,0.84778,0.73822,0.798,0.69492,0.75001,0.98525,1.21426,0.0004951,0.0004951,0.0004951
53,6051.27,0.66121,0.59351,1.15074,0.7843,0.76465,0.7875,0.67785,0.79895,1.0447,1.2849,0.0004852,0.0004852,0.0004852
54,6161.96,0.65134,0.59224,1.14449,0.81237,0.74313,0.80039,0.69169,0.76994,0.9931,1.23128,0.0004753,0.0004753,0.0004753
55,6273.07,0.65408,0.5828,1.13429,0.82311,0.75606,0.80521,0.69877,0.75189,0.97386,1.23578,0.0004654,0.0004654,0.0004654
56,6384.1,0.64312,0.55935,1.13654,0.81997,0.74443,0.79153,0.69357,0.76335,1.0503,1.25872,0.0004555,0.0004555,0.0004555
57,6495.18,0.65565,0.57357,1.14906,0.88025,0.7614,0.82111,0.71872,0.77076,0.94467,1.28245,0.0004456,0.0004456,0.0004456
58,6611,0.6379,0.55928,1.126,0.86511,0.75966,0.81592,0.71795,0.75061,0.98025,1.22321,0.0004357,0.0004357,0.0004357
59,6723.18,0.62408,0.54701,1.12135,0.83456,0.75345,0.8029,0.70707,0.7621,1.03179,1.25516,0.0004258,0.0004258,0.0004258
60,6834.63,0.63511,0.54744,1.12511,0.89948,0.71719,0.80737,0.70431,0.75923,0.98206,1.24484,0.0004159,0.0004159,0.0004159
61,6946.14,0.62668,0.53957,1.11829,0.86354,0.77556,0.81788,0.70712,0.7505,0.97324,1.23299,0.000406,0.000406,0.000406
62,7057.65,0.61702,0.5265,1.11505,0.83551,0.72387,0.7861,0.69112,0.77675,1.0855,1.29012,0.0003961,0.0003961,0.0003961
63,7168.38,0.62638,0.52967,1.12366,0.87568,0.70941,0.79709,0.69843,0.77292,0.98303,1.25742,0.0003862,0.0003862,0.0003862
64,7278.78,0.61781,0.53436,1.12727,0.86206,0.75173,0.79595,0.69517,0.76424,1.05937,1.24421,0.0003763,0.0003763,0.0003763
65,7390.82,0.6175,0.52798,1.1157,0.84266,0.76637,0.81434,0.71081,0.75492,0.9377,1.23552,0.0003664,0.0003664,0.0003664
66,7502.88,0.60378,0.52177,1.1097,0.86119,0.75569,0.81815,0.71757,0.78043,0.97727,1.28061,0.0003565,0.0003565,0.0003565
67,7615.41,0.61435,0.5168,1.11385,0.85349,0.76515,0.81956,0.72053,0.744,0.94836,1.21845,0.0003466,0.0003466,0.0003466
68,7730.23,0.61298,0.52359,1.11265,0.82816,0.7619,0.80475,0.70471,0.75976,0.97786,1.2708,0.0003367,0.0003367,0.0003367
69,7842.15,0.59849,0.4907,1.10312,0.8247,0.77419,0.81371,0.7159,0.77786,0.97381,1.25536,0.0003268,0.0003268,0.0003268
70,7954.05,0.59597,0.49674,1.1021,0.8735,0.7495,0.81033,0.72142,0.72757,0.95839,1.21069,0.0003169,0.0003169,0.0003169
71,8070.49,0.59279,0.49076,1.10539,0.8605,0.74019,0.79405,0.7071,0.74823,1.03671,1.22583,0.000307,0.000307,0.000307
72,8182.6,0.59143,0.49289,1.10083,0.8437,0.74508,0.79405,0.70398,0.77039,1.00216,1.25148,0.0002971,0.0002971,0.0002971
73,8295.93,0.5712,0.47432,1.0937,0.89865,0.74602,0.82529,0.72552,0.72891,0.96025,1.19465,0.0002872,0.0002872,0.0002872
74,8411.4,0.57749,0.48107,1.0949,0.88784,0.76542,0.81347,0.71728,0.7536,0.95284,1.24146,0.0002773,0.0002773,0.0002773
75,8526.32,0.57915,0.47508,1.08902,0.87119,0.78726,0.82505,0.72939,0.75354,0.91477,1.23135,0.0002674,0.0002674,0.0002674
76,8646.15,0.56759,0.47081,1.08704,0.83246,0.77951,0.81561,0.71012,0.76566,0.93497,1.24351,0.0002575,0.0002575,0.0002575
77,8757.17,0.56557,0.46104,1.08833,0.86283,0.77336,0.82184,0.72284,0.75881,0.9135,1.22865,0.0002476,0.0002476,0.0002476
78,8868.53,0.57319,0.46238,1.08584,0.91008,0.75243,0.8338,0.74349,0.74099,0.90059,1.25931,0.0002377,0.0002377,0.0002377
79,8984.94,0.5699,0.4679,1.08626,0.83259,0.76702,0.81032,0.71632,0.76892,0.96041,1.29649,0.0002278,0.0002278,0.0002278
80,9101.79,0.5552,0.45879,1.08114,0.85492,0.76503,0.81729,0.72882,0.73614,0.93553,1.20904,0.0002179,0.0002179,0.0002179
81,9212.4,0.54898,0.45629,1.07389,0.86538,0.75679,0.80575,0.71263,0.75304,0.99489,1.20972,0.000208,0.000208,0.000208
82,9329.12,0.56227,0.45741,1.08288,0.82732,0.76498,0.79472,0.70647,0.76622,0.97356,1.26696,0.0001981,0.0001981,0.0001981
83,9446,0.54838,0.44338,1.0763,0.90211,0.75597,0.81625,0.7332,0.73181,0.94158,1.23854,0.0001882,0.0001882,0.0001882
